12345678901234;TechNova Solutions
23456789012345;Boulangerie du Soleil
34567890123456;Garage Martin & Fils
45678901234567;Pharmacie de la Gare
56789012345678;Restaurant Le Petit Bistrot
67890123456789;Coiffure Élégance
78901234567890;Librairie des Lumières
89012345678901;Plomberie Dupont Services
90123456789012;Cabinet d'Architecture Moderne
01234567890123;Épicerie Bio Nature
11234567890124;Bijouterie Précieuse
21234567890125;Auto-École Conduite Plus
31234567890126;Agence Immobilière Horizon
41234567890127;Studio Photo Créatif
51234567890128;Menuiserie Bois & Design
61234567890129;Fleuriste Au Jardin Fleuri
71234567890130;Pizzeria Napolitaine
81234567890131;Pressing Éclat
91234567890132;Cordonnerie Tradition
02234567890133;Boucherie des Terroirs
12234567890134;Clinique Vétérinaire Les Animaux
22234567890135;Café-Tabac Le Central
32234567890136;Opticien Vision Claire
42234567890137;Salon de Beauté Harmonie
52234567890138;Quincaillerie Outillage Pro
62234567890139;École de Musique Crescendo
72234567890140;Cabinet Dentaire Sourire
82234567890141;Magasin de Sport Action
92234567890142;Fromagerie Affinage Tradition
03234567890143;Laverie Automatique Express
13234567890144;Crèche Les Petits Anges
23234567890145;Maison de Retraite Sérénité
33234567890146;Pâtisserie Sucrée Délice
43234567890147;Bar Le Comptoir des Amis
53234567890148;Agence de Voyage Évasion
63234567890149;Garage Moto Speed
73234567890150;Institut de Formation Pro
83234567890151;Chocolaterie Artisanale Gourmande
93234567890152;Poissonnerie Marée Fraîche
04234567890153;Animalerie Compagnons
14234567890154;Salle de Sport FitZone
24234567890155;Tatouage Art & Encre
34234567890156;Menuiserie Aluminium Moderne
44234567890157;Traiteur Saveurs du Monde
54234567890158;Cabinet Comptable Expertise
64234567890159;Magasin Informatique TechStore
74234567890160;Marbrerie Funéraire Éternité
84234567890161;Jardinerie Plantes & Jardins
94234567890162;Location Véhicules AutoLib
05234567890163;Studio Yoga Zen Attitude
15234567890164;Atelier Couture & Retouches
25234567890165;Agence Communication Digital
35234567890166;Laboratoire d'Analyses Médicales
